74686,,,
pin,name,type,side
1,~P>Q,out,right
2,~G1,in,left
3,P0,in,left
4,Q0,in,left
5,P1,in,left
6,Q1,in,left
8,P2,in,left
9,Q2,in,left
10,P3,in,left
11,Q3,in,left
12,GND,pwr_in,bottom
13,P4,in,left
14,Q4,in,left
15,P5,in,left
16,Q5,in,left
17,P6,in,left
18,Q6,in,left
20,P7,in,left
21,Q7,in,left
22,~P=Q,out,right
23,~G2,in,left
24,VCC,pwr_in,top
