XBP24-A,,,
Pin,Name,Type,side
1,VCC,pwr_in,top
2,DOUT,Output,left
3,DIN/CONFIG,Input,left
4,DO8,Output,left
5,RESET,Input,left
6,PWM0/RSSI,Output,right
7,PWM1,Output,right
9,DTR/SLEEP_RQ/DI8,Input,left
10,GND,pwr_in,bottom
11,AD4/DIO4,bi,right
12,CTS/DIO7,bi,left
13,ON/SLEEP,Output,right
14,VREF,Input,right
15,Asso/AD5/DIO5,bi,right
16,RTS/AD6/DIO6,bi,left
17,AD3/DIO3,bi,right
18,AD2/DIO2,bi,right
19,AD1/DIO1,bi,right
20,AD0/DIO0,bi,right
