TPS62110,,,
Pin,name,type,side
1,PGND,pwr,bottom
2,VIN,pwr_in,left
3,VIN,pwr_in,left
4,EN,in,left
5,SYNC,in,left
6,LBO,oc,right
7,LBI,in,left
8,VINA,pwr_in,left
9,AGND,pwr,bottom
10,FB,in,right
11,GND,pwr,bottom
12,GND,pwr,bottom
13,PG,oc,right
14,SW,pwr_out,right
15,SW,pwr_out,right
16,PGND,pwr,bottom
